"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","64.152","64.537","64.752","65.132","65.294","65.502","66.063","66.439","66.757","67.168","67.583","67.975","68.577","69.092","69.503","69.762","70.035","70.264","70.494","70.778","71.066","71.722","71.959","72.105","72.251","72.388","72.462","72.789","73.047","73.023","73.076","73.1","73.179","73.225","73.272","73.349","73.448","73.452","73.491","73.561","73.569","73.647","73.726","73.752","73.576","73.811","74.026","74.21","74.147","74.56","75.404","75.465","75.531","75.636","75.601","75.683","75.617","75.903","76.072","76.248","75.723","74.626","74.992","",
"Africa Eastern and Southern","AFE","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","44.0988346574946","44.4010825990948","44.7680371229247","44.9256895261074","45.4989334455041","45.5128196460663","45.2633977563552","45.933042084943","46.2297546143925","46.4369445994896","46.7237104209166","47.2096723541213","46.9131578868382","47.7227078348149","47.634362103647","47.7928785363976","48.3734725574753","48.6567618954082","48.7818960036143","49.276900488754","49.6549140809389","50.0826228610725","50.332663365642","48.7581628368325","48.7159952357098","49.0802740588675","49.711445017772","50.1153864946532","49.3745310521698","50.7210010151314","50.6426642532672","50.4160601855954","49.9744692157867","50.2879424632518","50.9163898482077","51.0160366829441","50.8193448001414","50.9819695299728","50.3271067293877","51.2588743824657","51.9869885599603","52.2122393978731","52.562781272505","53.0363011425306","53.5518823827268","54.222949970966","55.1577194111152","55.9378377180117","56.6807366036655","57.6215135090088","58.4103157038398","59.2933194096367","60.0515270441404","60.7100282590173","61.338812803717","61.8568558505819","62.4446410966273","62.9248101271544","63.3670367555538","63.7547521666693","63.3097935065176","62.4490927859627","62.888463228983","",
"Afghanistan","AFG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","32.535","33.068","33.547","34.016","34.494","34.953","35.453","35.924","36.418","36.91","37.418","37.923","38.444","39.003","39.55","40.1","40.645","41.228","40.271","39.086","39.618","40.164","37.766","38.187","33.329","33.55","39.396","39.844","43.958","45.158","45.967","46.663","47.596","51.466","51.495","52.544","53.243","53.634","52.943","54.846","55.298","55.798","56.454","57.344","57.944","58.361","58.684","59.111","59.852","60.364","60.851","61.419","61.923","62.417","62.545","62.659","63.136","63.016","63.081","63.565","62.575","61.982","62.879","",
"Africa Western and Central","AFW","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","37.8461448646215","38.1654784289766","38.735787780386","39.0632725540672","39.3336214025603","39.6148800512706","39.8334838254132","39.4664255775905","40.079451356643","40.3428762411137","41.0264462919236","41.5478793286299","42.2412818905548","42.8467256024502","43.4889566326111","44.1926524188677","44.9949371531161","45.7121044692586","46.2620158285345","46.6662528597166","47.0082528222236","47.2904945436797","47.5231171781545","47.7792167536058","47.9262469812669","48.0156962385444","48.0603454125909","48.2294948653642","48.5046775106467","48.6802055068787","48.6382071671291","48.6487275119259","48.7214875525413","48.8153268531754","48.6646959581531","48.7647547169262","48.8852453235501","49.0580730718397","49.3098982631757","49.7264291205473","50.1945948063255","50.5373460326681","50.8980860716975","51.3716140688607","51.7847675047307","52.3080634425999","52.7925368799009","53.2089984184716","53.594145375776","54.111707721701","54.5004658348663","54.9601717528254","55.2839404862512","55.615140332255","55.8636648083814","56.1352747821566","56.5180855505093","56.8266341483196","57.1297073906826","57.5002948387114","57.1806707191864","56.9464748071321","57.5891064273872","",
"Angola","AGO","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","38.211","37.267","37.539","37.824","38.131","38.495","38.757","39.092","39.484","39.829","40.19","40.554","40.905","41.27","41.652","41.191","41.163","41.437","41.83","42.175","42.449","42.772","43.051","42.092","42.353","42.648","42.843","40.917","41.545","41.765","41.893","43.813","42.209","42.101","43.422","45.849","46.033","46.306","45.057","45.386","46.024","46.59","47.386","49.617","50.592","51.57","52.369","53.642","54.633","55.752","56.726","57.596","58.623","59.307","60.04","60.655","61.092","61.68","62.144","62.448","62.261","61.643","61.929","",
"Albania","ALB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","54.439","55.634","56.671","57.844","58.983","60.019","60.998","61.972","62.946","63.923","64.824","65.618","66.422","67.14","67.769","68.328","68.704","69.121","69.309","69.584","70.478","70.73","71.023","71.296","71.502","71.656","71.95","72.352","72.641","72.88","73.144","73.378","73.715","73.939","74.131","74.362","74.592","73.904","74.99","75.183","75.404","75.639","75.89","76.142","76.376","76.621","76.816","77.549","77.653","77.781","77.936","78.092","78.064","78.123","78.407","78.644","78.86","79.047","79.184","79.282","76.989","76.463","76.833","",
"Andorra","AND","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","44.956530676025","45.6591082263053","46.1004575327492","46.954091277091","47.8869624644942","48.2126925149048","48.4252413490845","48.8735576334782","49.3965755885973","49.76045731841","50.2795624787046","51.2321689500779","51.7894061377705","52.4619403843252","53.105691924249","53.6080179084914","53.9827614590193","55.2340672023999","55.9903686792533","56.7079014210182","57.1732662041854","57.5541012674757","57.9004131648282","58.6101247018123","59.2956867170174","60.0332144096784","61.0493688964207","60.9742621494447","60.3543194945362","62.28046614793","62.7293691855754","62.9713453378905","63.2352313770054","64.2297250080663","65.3257213637349","65.1530659868971","65.5277770689507","65.8137717257096","65.6001140162629","66.7167582232366","67.1485946556839","67.4878677120796","67.7989922635794","67.7264643995005","67.7617899778175","68.0313106881606","68.4456152626276","68.8044771777513","69.1498701706848","69.6659899107086","69.8629076501434","70.0929500756869","70.0306813523565","70.0635094909116","70.3670416519851","70.6438916772436","70.8430191114354","71.3208697263729","71.4885385070567","71.6884184364112","70.7942234312115","70.6523470396568","71.0781699371824","",
"United Arab Emirates","ARE","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","48.811","49.695","50.686","51.584","52.848","53.985","55.185","56.339","57.54","58.76","60.021","61.211","62.304","63.351","64.338","65.08","65.82","66.514","67.209","67.846","68.53","69.085","69.66","69.949","70.485","70.747","70.964","71.491","71.606","71.757","71.9","72.241","72.306","72.521","72.598","72.695","72.767","72.937","73.066","73.67","74.38","74.636","74.901","76.222","76.453","76.683","76.909","77.129","77.488","78.003","78.334","78.517","78.716","78.853","79.044","79.223","79.335","79.504","79.627","79.726","78.946","78.71","79.196","",
"Argentina","ARG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","63.978","64.36","64.244","64.449","64.363","64.593","64.891","64.992","64.89","64.859","65.589","65.541","65.923","66.323","66.563","67.081","67.228","67.861","68.197","68.491","68.564","68.976","68.937","69.267","69.195","69.651","70.119","70.564","71.052","71.425","71.784","72.319","72.43","72.565","73.172","73.133","73.307","73.09","73.474","73.722","73.926","74.186","74.408","74.08","74.855","75.139","75.433","75.006","75.641","75.936","75.721","76.124","76.467","76.491","76.755","76.76","76.308","76.833","76.999","77.284","75.892","75.39","76.064","",
