Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Population, female",SP.POP.TOTL.FE.IN,27927,28252,28628,28975,29285,29576,29839,29991,30029,30022,29974,29897,29537,29685,29732,29723,29787,29931,30065,30311,30711,31076,31446,31916,32236,31600,30639,30195,30228,30765,31959,33639,35307,37753,39813,41027,42782,44564,45760,46467,47005,47494,47867,48445,49521,50865,51837,52275,52723,53128,53240,53643,54517,55414,56080,56721,57213,57275,57429,57655,57382,56900,56652,56653
Africa Eastern and Southern,AFE,"Population, female",SP.POP.TOTL.FE.IN,65662559,67414289,69255211,71167509,73174418,75269359,77426491,79669186,82009247,84415389,86900277,89453849,92033265,94753461,97604411,100495165,103474561,106458647,109712584,113219050,116615981,120235628,124174924,128115629,132070241,136089400,140160138,144367848,148574352,152809820,157233149,161612202,166123886,170615813,175343064,180559619,185883069,191018625,195998579,201191851,206453630,211818939,217351101,223035087,228916303,234995227,241255950,247737422,254486224,261472549,268642316,275861051,283305941,291107600,298979833,306996430,315139785,323559276,332453754,341569862,350869705,360249371,369655503,379025748
Afghanistan,AFG,"Population, female",SP.POP.TOTL.FE.IN,4344798,4438399,4537295,4640784,4748904,4862718,4980738,5103185,5230999,5363265,5501424,5641896,5786440,5939752,6096225,6249456,6393256,6534395,6671798,6701208,6471736,5875154,5420815,5397808,5550465,5690379,5702941,5696211,5769903,5947460,6034493,6132329,6654765,7486449,8136890,8540171,8882693,9220017,9566944,9922960,10035682,10104514,10640919,11306364,11709120,12119909,12618615,12853489,13131734,13612943,14011779,14532542,15127147,15647752,16221843,16732244,17159297,17649936,18178417,18736474,19343529,19813956,20103167,20530683
Africa Western and Central,AFW,"Population, female",SP.POP.TOTL.FE.IN,49175412,50250612,51358188,52501458,53677241,54894773,56155681,57456754,58810306,60213731,61667791,63161356,64712574,66352232,68088629,69927791,71821386,73791824,75877344,78050551,80280180,82578565,84992552,87331984,89636312,92084041,94608539,97199336,99864964,102623263,105344813,108125278,111101238,114094410,117122780,120319695,123602802,126977528,130487432,134040727,137721472,141577918,145543099,149610946,153819003,158177692,162649593,167241763,171950971,176735213,181646110,186737982,191892541,197088818,202456068,207934891,213499543,219113878,224672701,230166416,235687925,241282911,246948301,252899429
Angola,AGO,"Population, female",SP.POP.TOTL.FE.IN,2582555,2610936,2633066,2655756,2679307,2703771,2729028,2754621,2780177,2805479,2850836,2926816,3024968,3138500,3257214,3378619,3501530,3630206,3766633,3908764,4058927,4216591,4381381,4554461,4733983,4918592,5106657,5294982,5486730,5684947,5888322,6095028,6302736,6515298,6738928,6970820,7208789,7455871,7709131,7969513,8239809,8522005,8817845,9128774,9458511,9805023,10167885,10550081,10950695,11369373,11810187,12273289,12754843,13251381,13751500,14252582,14767682,15295911,15829364,16370876,16911493,17455057,18008613,18568216
Albania,ALB,"Population, female",SP.POP.TOTL.FE.IN,798472,823469,848431,873289,898281,922894,947139,972115,1000108,1029368,1055496,1080819,1107585,1133580,1159499,1186137,1212334,1239223,1265110,1290809,1318030,1345238,1374683,1405044,1435975,1467026,1496984,1528470,1558860,1603351,1635564,1629264,1623163,1617311,1611664,1606197,1600894,1595783,1590813,1585827,1580903,1568260,1561561,1552793,1543523,1533025,1520970,1507288,1493648,1481568,1472265,1467424,1465129,1462516,1459483,1455176,1452738,1451282,1447593,1441278,1433321,1420794,1404107,1388342
Andorra,AND,"Population, female",SP.POP.TOTL.FE.IN,4692,5035,5394,5766,6144,6532,6973,7504,8089,8697,9328,9979,10650,11345,12060,12797,13546,14300,15044,15756,16419,17041,17830,18775,19674,20503,21517,22471,23295,23966,24823,26515,28166,29576,30253,30143,30334,30743,31117,31371,31458,31636,32023,33429,35636,37047,38002,39026,39821,40123,39099,38101,37671,36953,36337,35669,35679,36364,36959,37559,37994,38353,38912,39502
Arab World,ARB,"Population, female",SP.POP.TOTL.FE.IN,45553872,46733696,47947430,49212199,50509339,51836197,53257012,54791119,56383428,58027014,59703653,61406817,63159830,65018366,66945528,68991894,71167162,73366876,75745226,78367271,81045995,83618779,86190446,88870024,91661215,94506428,97395664,100310499,103092777,105854387,109350560,111845877,114679291,117858047,121103690,124173094,127211051,130268555,133421568,136621522,139854821,143108564,146405952,149718432,153104282,156640217,160267960,164079270,168067419,172114978,175630673,179539353,183586476,188093998,192366746,196876834,201355207,205627977,209752508,214102918,218890065,222606670,227614565,232530263
United Arab Emirates,ARE,"Population, female",SP.POP.TOTL.FE.IN,49431,51160,53032,55050,57170,59254,61068,62312,66526,75574,86485,98109,110391,123264,136633,150322,169796,196040,224252,253893,284007,314068,344562,375784,407485,439252,471440,504212,537092,570030,602945,635726,668239,700314,731731,762917,811273,877490,945282,1014270,1084090,1154939,1227201,1300479,1374026,1447131,1560203,1772259,2017460,2188378,2287634,2413024,2550675,2675228,2812237,2978083,3141120,3253201,3306245,3351539,3348343,3425770,3616601,3772859
Argentina,ARG,"Population, female",SP.POP.TOTL.FE.IN,10175528,10357370,10539647,10723652,10907254,11088672,11268775,11450939,11637225,11827790,12023844,12226197,12434789,12650533,12872761,13091933,13307092,13527193,13751359,13977319,14205756,14439210,14676897,14916804,15157857,15399848,15642967,15887734,16136524,16385772,16630962,16869703,17103144,17334855,17565566,17793348,18015824,18233978,18448100,18660016,18870186,19076995,19281383,19480492,19676039,19874795,20074295,20266488,20464391,20673509,20883716,21099010,21307318,21507070,21718370,21939310,22147408,22335741,22512096,22665751,22772481,22834166,22880775,22941417
