Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Population, male",SP.POP.TOTL.MA.IN,26995,27326,27692,28027,28334,28614,28855,28999,29040,29030,28976,28884,28510,28614,28617,28572,28581,28649,28711,28880,29198,29487,29830,30312,30665,30128,29292,28964,29103,29678,30794,32257,33698,35932,37782,38778,40239,41737,42691,43192,43583,43945,44207,44683,45617,46770,47568,47875,48194,48476,48598,48948,49593,50261,50727,51185,51514,51460,51479,51548,51205,50800,50658,50706
Africa Eastern and Southern,AFE,"Population, male",SP.POP.TOTL.MA.IN,64409521,66120634,67916448,69778027,71729676,73764113,75854712,78035195,80320149,82672856,85084708,87568465,90093291,92770674,95582231,98419408,101328415,104222195,107361702,110755072,114176748,117807471,121647086,125529014,129387961,133361007,137461633,141699498,145924273,150129301,154515532,158830759,162958821,167708189,172098745,176020756,180255455,184627610,189507178,194559082,199703031,204988929,210469257,216138199,222011741,228081410,234350260,240843285,247584539,254530899,261666071,268876932,276304020,284095099,291989157,300126839,308229616,316499465,325347331,334380327,343576395,352841557,362165890,371478016
Afghanistan,AFG,"Population, male",SP.POP.TOTL.MA.IN,4690245,4775684,4867111,4963703,5065414,5173290,5285657,5402774,5525923,5654144,5788704,5925771,6067256,6218247,6372902,6524498,6666595,6806361,6939643,6954359,6697575,6062427,5570563,5520174,5639756,5736473,5717133,5691607,5753395,5926628,6011167,6106550,6624209,7456723,8113904,8525665,8880573,9232074,9593052,9964825,10094645,10179793,10737198,11426685,11851534,12284658,12805479,13056363,13350888,13853158,14272310,14815166,15432887,15974952,16570680,17099520,17541315,18038999,18564622,19119647,19725450,20186456,20475675,20924078
Africa Western and Central,AFW,"Population, male",SP.POP.TOTL.MA.IN,48455513,49456062,50496568,51587717,52711199,53877859,55091272,56338265,57634330,58989790,60418745,61911592,63463920,65097710,66822952,68642127,70515886,72466752,74525272,76671160,78886338,81183908,83592566,85923173,88244434,90726997,93280602,95905011,98620063,101439011,104221218,107053431,110090137,113152368,116237324,119482180,122812644,126230056,129810402,133465571,137246974,141202799,145298696,149531899,153906097,158410784,163013565,167742413,172635138,177608631,182712160,188052161,193467808,198941389,204535979,210192954,215955200,221769028,227523214,233199013,238881426,244638086,250438879,256499160
Angola,AGO,"Population, male",SP.POP.TOTL.MA.IN,2649099,2690647,2721244,2752564,2784880,2818210,2852358,2887186,2922522,2958206,3001952,3064286,3149294,3250028,3356153,3464328,3573134,3687623,3810101,3938443,4074945,4219016,4370267,4528522,4691934,4860528,5032793,5202876,5374561,5553615,5738038,5928501,6120976,6311837,6510836,6728958,6962184,7204542,7450239,7697722,7955060,8225203,8509854,8814938,9141912,9486138,9847394,10228480,10627960,11045400,11484638,11945063,12422551,12914239,13409269,13905216,14415388,14938928,15467791,16004756,16539639,17077372,17626416,18181690
Albania,ALB,"Population, male",SP.POP.TOTL.MA.IN,810328,836331,862888,889332,915854,941897,967434,993483,1022164,1052327,1079983,1107034,1135541,1163172,1190625,1218694,1246192,1274323,1301156,1327023,1353967,1380818,1409595,1438916,1468454,1497736,1525651,1555135,1583476,1624592,1650978,1637526,1623876,1609976,1595872,1581587,1567139,1552498,1537717,1522951,1508124,1491913,1489449,1486823,1483416,1478462,1471577,1462729,1453666,1445951,1440756,1437771,1435272,1432576,1429621,1425527,1423363,1422175,1418783,1412913,1404528,1390872,1373582,1357630
Andorra,AND,"Population, male",SP.POP.TOTL.MA.IN,4818,5248,5692,6149,6620,7102,7653,8333,9087,9858,10649,11463,12307,13178,14070,14976,15890,16797,17691,18550,19363,20128,20934,21790,22599,23322,24217,25182,26121,26654,27774,30152,32034,33696,34359,33769,33650,33957,34265,34339,34227,34216,34483,36057,38689,40374,41583,42851,43674,43765,41607,39682,39163,38241,37400,36505,36502,37399,38203,38915,39386,40011,40793,41354
Arab World,ARB,"Population, male",SP.POP.TOTL.MA.IN,45986981,47197987,48481169,49826310,51220421,52657811,54146043,55700590,57328743,59026205,60765610,62543993,64375730,66317294,68337333,70503943,72846973,75232460,77823437,80686847,83611326,86396706,89179910,92103264,95072742,98056815,101114107,104214096,107176919,110114681,113833734,116556439,119642274,123068158,126522824,129779444,133018070,136296628,139672631,143088112,146693275,150471688,154285557,158096673,161955995,165988234,170258350,174868706,179617200,184271695,187937861,192515581,197443701,202860283,207864262,213313845,218453134,222687909,226245552,230178397,234833174,238039933,243737501,249137276
United Arab Emirates,ARE,"Population, male",SP.POP.TOTL.MA.IN,81903,86829,91914,97161,102522,107849,112908,117388,132890,164086,200051,236918,274623,313135,352454,392534,446070,514169,585022,658117,731693,785787,821808,859521,898511,938659,995943,1070032,1144696,1219821,1295275,1370900,1446491,1521779,1596457,1671745,1786291,1939920,2095139,2251739,2409485,2568651,2729625,2891978,3054941,3217659,3448897,3852376,4285204,4518680,4582204,4691514,4840773,5017803,5247203,5527154,5793975,5970024,6040456,6094246,6052695,6149382,6458376,6710892
Argentina,ARG,"Population, male",SP.POP.TOTL.MA.IN,10210517,10368906,10532891,10698053,10862199,11023957,11185118,11348120,11513358,11680921,11854483,12031011,12209539,12395472,12588590,12782174,12975191,13174612,13380799,13591576,13805840,14024749,14247365,14474528,14705236,14936593,15169013,15404028,15644008,15885176,16124939,16360591,16590383,16817862,17047925,17276672,17497969,17713813,17924760,18134666,18343798,18547830,18747966,18943790,19139877,19341994,19547820,19750275,19959757,20181322,20404978,20631650,20854403,21075385,21305701,21537702,21752905,21953153,22142786,22307714,22419484,22478115,22527129,22596984
