Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Population ages 15-64, total",SP.POP.1564.TO,30005,30542,31106,31704,32343,32996,33618,34006,34140,34205,34235,34273,34183,34854,35412,35903,36474,37098,37639,38261,38998,39557,40124,40896,41506,40964,40055,39826,40160,40963,42289,43861,45688,48985,51802,53759,56603,59372,61256,62407,63207,63841,64353,65182,66674,68450,69626,70039,70443,70786,70991,71718,72873,73878,74422,74806,74904,74413,74029,73736,72936,72127,71635,71335
Africa Eastern and Southern,AFE,"Population ages 15-64, total",SP.POP.1564.TO,68966605,70684268,72484726,74320369,76238027,78212279,80210019,82298709,84497772,86768197,89087100,91448773,93830922,96388578,99157831,102010419,104920589,107839182,111108176,114635258,118151488,121922177,125970329,130153939,134395584,138726381,143136098,147654722,152177916,156721592,161472236,166188475,170712449,175621761,180660991,185455250,190001746,194652330,200103534,205986657,211963146,218121738,224483226,231002221,237711068,244576327,251625199,258955506,266634250,274604430,282926325,291529858,300452171,309838563,319409234,329398607,339468543,349952708,361339357,372963801,384904376,397031637,409197442,421370074
Afghanistan,AFG,"Population ages 15-64, total",SP.POP.1564.TO,4990044,5082677,5181296,5281410,5381453,5481275,5581116,5685230,5794810,5908822,6029194,6152152,6279251,6415467,6554289,6689082,6813563,6934763,7050179,7048139,6772533,6116825,5613088,5560416,5685159,5791546,5774310,5744961,5800209,5962949,6032950,6109243,6602153,7397729,8005448,8361810,8655552,8939430,9229569,9530003,9604803,9649115,10154205,10796597,11204137,11636265,12171094,12472415,12834809,13411217,13923141,14567633,15297370,15965938,16701362,17384103,17989857,18656626,19353761,20081542,20864851,21495952,21938957,22549839
Africa Western and Central,AFW,"Population ages 15-64, total",SP.POP.1564.TO,53869946,54908172,55952387,56991665,58021861,59117139,60285374,61488804,62737715,64032036,65393442,66801631,68254457,69788861,71405191,73101278,74824596,76608258,78494213,80470645,82516641,84649566,86927623,89110165,91244193,93570613,96031274,98622616,101370705,104290651,107232731,110296996,113651658,117095432,120600812,124297205,128074959,131940017,136027108,140171237,144351570,148624352,152994897,157496398,162130953,166860422,171629628,176508711,181637266,186938068,192351083,197991152,203703225,209530426,215602741,221869917,228492552,235428779,242513766,249741248,257282262,265141681,273210965,281793170
Angola,AGO,"Population ages 15-64, total",SP.POP.1564.TO,2907469,2926325,2933461,2938085,2938673,2939130,2942474,2948703,2958257,2970899,2995221,3050330,3147732,3272879,3406146,3542574,3680148,3825623,3980836,4140868,4308827,4482718,4661490,4847365,5036295,5223735,5405465,5578190,5750392,5928422,6110874,6294720,6479314,6665477,6861629,7079129,7314848,7565482,7825977,8093137,8373983,8670903,8984181,9317529,9672417,10043729,10430239,10834824,11253903,11687537,12143575,12623133,13120102,13631498,14142509,14651746,15184647,15741446,16308860,16893364,17479836,18076361,18697266,19336436
Albania,ALB,"Population ages 15-64, total",SP.POP.1564.TO,858107,878120,902265,928185,955546,982734,1009337,1036806,1068203,1103170,1137612,1173224,1212146,1251875,1293242,1337238,1382490,1429837,1475339,1519604,1565027,1609475,1656487,1704896,1753519,1799327,1843037,1890967,1935531,1993752,2035232,2028073,2019464,2009624,1999663,1988851,1978034,1968996,1961428,1954417,1947712,1938841,1946583,1953305,1958916,1962602,1963443,1961199,1958661,1958695,1962907,1971042,1978033,1979828,1977496,1972224,1969367,1965768,1956451,1941067,1921536,1894123,1861085,1830356
Andorra,AND,"Population ages 15-64, total",SP.POP.1564.TO,6275,6792,7324,7873,8438,9021,9638,10339,11133,12001,12949,13976,15080,16255,17489,18761,20047,21336,22621,23882,25131,26384,27627,28882,30169,31459,32969,34379,35751,36620,38144,41595,44513,46878,47873,47139,46983,47395,47799,47824,47508,47379,47656,50033,54122,56623,58266,60052,61194,61221,58341,55860,55168,53918,52844,51789,51890,53144,54337,55411,56010,56705,57686,58486
Arab World,ARB,"Population ages 15-64, total",SP.POP.1564.TO,48607959,49642923,50745723,51900685,53109937,54376086,55742399,57241854,58862334,60584161,62349134,64145871,65990460,67937790,69999619,72189320,74496408,76953552,79750768,82840188,85998383,89032326,92078080,95285735,98583043,101933245,105367082,108879599,112310130,115777336,120131987,123649999,127576605,131909000,136382245,140766959,145228925,149847403,154747522,159838132,165106618,170542561,176108084,181747620,187510748,193483858,199789598,206544115,213187281,219458730,224436317,230183302,236064772,242186728,247729010,253905494,259948218,265154282,269777484,275101711,281455424,286266742,294283776,302209870
United Arab Emirates,ARE,"Population ages 15-64, total",SP.POP.1564.TO,78641,84199,89905,95676,101474,107295,113097,118830,133925,162725,196913,232959,270288,308423,346995,385758,439205,508547,579890,652446,725067,779340,816865,856308,896902,938563,993859,1066013,1145033,1229267,1317210,1407527,1499101,1591218,1683772,1778813,1917250,2104016,2302802,2509395,2721075,2935841,3150823,3361664,3565899,3766458,4055912,4573117,5141999,5477063,5612937,5807900,6041176,6284318,6581427,6945735,7300309,7540665,7644643,7728787,7695346,7839407,8249860,8593051
Argentina,ARG,"Population ages 15-64, total",SP.POP.1564.TO,12946838,13155989,13375530,13601443,13827742,14055163,14287396,14522470,14757994,14991934,15224582,15453152,15678030,15901453,16123636,16336057,16533108,16724910,16916594,17110655,17308621,17513369,17732702,17973180,18230425,18496794,18770602,19054247,19349846,19654605,19965077,20273619,20582444,20898129,21218688,21541885,21864525,22185553,22504380,22822131,23137277,23450720,23766855,24088077,24413926,24744244,25077232,25406655,25735704,26066069,26390623,26703528,27001339,27287926,27575000,27860541,28132899,28395268,28651937,28904522,29152195,29381676,29612843,29876069
Armenia,ARM,"Population ages 15-64, total",SP.POP.1564.TO,1058992,1076551,1100833,1131224,1165017,1200733,1238427,1277798,1318536,1360278,1402490,1447373,1497090,1551185,1609143,1670157,1741597,1822513,1903846,1962804,1996349,2025323,2050358,2071694,2092669,2114258,2134580,2153481,2166806,2226190,2294979,2322503,2260140,2138495,2054873,2008317,1992393,1978089,1982415,2003296,2080634,2106251,2118086,2121474,2124209,2128544,2134740,2141106,2143431,2139655,2130464,2119504,2113179,2104521,2089719,2072031,2050742,2029303,2014073,2004252,1998643,1995138,1995964,2011189
American Samoa,ASM,"Population ages 15-64, total",SP.POP.1564.TO,9703,10060,10467,10863,11249,11625,11994,12365,12765,13200,13636,14045,14434,14805,15178,15614,16107,16617,17136,17660,18286,19069,19922,20797,21694,22613,23543,24483,25446,26430,27269,27905,28487,29062,29632,30196,30763,31344,31945,32561,33018,33233,33346,33411,33461,33520,33590,33677,33751,33786,33867,33982,33984,33843,33609,33323,33011,32681,32331,31953,31828,31722,31340,30859
Antigua and Barbuda,ATG,"Population ages 15-64, total",SP.POP.1564.TO,31181,31700,32074,32407,32495,32408,32386,32404,32500,32708,33182,33772,34239,34666,35130,35674,36291,36950,37615,38260,38877,39451,39976,40464,40644,40403,40037,39682,39319,38947,38614,38910,39901,40974,42035,43123,44233,45361,46483,47574,48604,49567,50494,51395,52317,53344,54429,55544,56689,57831,58949,60004,60988,61855,62576,63239,63799,64229,64632,64978,65239,65455,65636,65829
Australia,AUS,"Population ages 15-64, total",SP.POP.1564.TO,6296003,6421575,6593630,6737665,6887141,7042900,7227503,7345848,7505805,7687760,7858900,8147343,8316778,8469457,8720491,8866436,8997284,9142845,9290331,9426194,9569919,9745671,9943831,10113714,10273063,10450551,10643016,10841586,11045265,11248032,11417235,11552182,11667053,11757630,11862796,11994523,12145877,12287429,12421783,12571957,12731716,12911186,13077545,13249215,13409185,13589360,13787508,14051988,14345413,14641855,14849809,15016663,15223747,15426531,15599389,15765573,15956700,16174820,16375200,16567398,16698064,16651179,16828565,17217866
