Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Population ages 65 and above, total",SP.POP.65UP.TO,1569,1595,1635,1681,1741,1815,1901,2000,2112,2239,2373,2507,2614,2760,2892,3014,3152,3307,3444,3568,3701,3850,4040,4237,4378,4372,4326,4373,4489,4563,4527,4367,4316,4581,4838,5013,5261,5538,5765,5940,6140,6416,6706,7033,7461,7939,8346,8656,8985,9330,9664,10106,10681,11300,11911,12561,13225,13828,14497,15225,15828,16294,16848,17574
Africa Eastern and Southern,AFE,"Population ages 65 and above, total",SP.POP.65UP.TO,3883883,3963502,4048668,4140072,4240596,4350434,4467497,4594609,4732179,4875430,5023548,5176317,5330999,5493492,5664385,5838549,6019648,6204073,6408921,6633606,6847009,7068566,7311263,7550274,7791496,8040209,8288025,8563119,8827355,9059308,9296996,9539820,9794722,10044116,10301736,10579381,10872970,11170931,11461818,11767681,12086570,12411793,12741905,13075602,13416299,13766427,14122014,14484559,14850213,15225458,15634775,16078832,16576648,17129916,17718102,18341076,18981457,19680709,20483413,21340706,22167894,22937086,23755737,24665031
Afghanistan,AFG,"Population ages 65 and above, total",SP.POP.65UP.TO,255092,258856,262649,266530,270658,275154,279939,285052,290464,295965,301602,307196,312828,318855,325127,331361,337228,343089,348340,346855,331463,297657,270478,264580,265722,264659,260033,256890,258597,266319,270150,274403,297740,335786,366332,385595,402002,417917,433795,450021,455342,458820,483995,515302,534508,553922,577579,589764,604749,629947,652405,681495,714467,743061,772767,797312,817372,842165,869752,899520,926221,941030,955689,985603
Africa Western and Central,AFW,"Population ages 65 and above, total",SP.POP.65UP.TO,3237415,3315440,3405172,3495447,3583081,3667456,3749267,3827430,3906596,3989111,4070751,4146856,4225523,4315369,4413618,4519335,4628386,4748480,4883020,5024076,5156769,5283757,5428474,5580602,5727481,5876036,6027507,6180312,6334607,6491918,6646215,6800014,6960647,7121623,7282083,7449402,7620539,7795312,7976057,8157328,8344603,8543253,8755559,8978274,9205954,9438832,9677324,9925758,10194702,10474397,10762312,11063943,11362834,11644101,11901766,12168631,12467968,12787106,13125837,13484789,13840833,14208296,14622147,15089656
Angola,AGO,"Population ages 65 and above, total",SP.POP.65UP.TO,165089,167610,169056,170141,170876,171267,171290,170965,170360,169557,168918,169089,170390,172378,174543,176659,178659,180996,183863,187146,190995,195433,200503,206081,212099,218806,226227,233830,242042,251649,262495,274969,288525,302966,319204,337073,355993,375571,394903,413967,433029,452097,471309,490963,510926,530486,550019,570060,590899,612683,635926,660740,686403,711452,734561,757806,783570,811879,842844,876725,911747,947813,988280,1033205
Albania,ALB,"Population ages 65 and above, total",SP.POP.65UP.TO,88269,89167,89790,90775,92054,93511,95113,96942,99241,101843,104264,106735,109626,112839,116304,120156,124300,128815,133346,136269,138041,139825,141812,144191,147189,151978,157279,161779,165615,170989,176785,179720,183402,188059,193177,198704,204003,208993,214326,220204,226447,232750,241470,250494,259893,269801,280112,290307,300052,309245,318103,326201,333816,342204,351511,361330,371598,382325,393826,406668,419065,429229,438218,447648
Andorra,AND,"Population ages 65 and above, total",SP.POP.65UP.TO,666,670,676,683,684,691,719,770,837,915,997,1083,1176,1273,1375,1493,1628,1774,1930,2097,2286,2488,2689,2898,3120,3380,3664,3990,4368,4722,5078,5407,5761,6239,6566,6758,7042,7347,7608,7847,8094,8410,8757,9018,9155,9226,9413,9757,10160,10529,10285,9872,9742,9588,9483,9329,9396,9736,10137,10573,11001,11440,11931,12467
Arab World,ARB,"Population ages 65 and above, total",SP.POP.65UP.TO,3184800,3288672,3405883,3522686,3637676,3751223,3857604,3958343,4061244,4165035,4267969,4370397,4474077,4578777,4684593,4801770,4926804,5045127,5166314,5300202,5438140,5571427,5708373,5858437,6025206,6203682,6396161,6601080,6801638,7006847,7249877,7455858,7704900,8001368,8308016,8614096,8935303,9268227,9595226,9909569,10217396,10520824,10826898,11129229,11420659,11707530,11994216,12285218,12593489,12923479,13248564,13648428,14104225,14619137,15139289,15712746,16349280,17047236,17796645,18599196,19378115,19987979,20789880,21769141
United Arab Emirates,ARE,"Population ages 65 and above, total",SP.POP.65UP.TO,3085,3097,3107,3117,3125,3127,3120,3105,3264,3701,4295,5009,5852,6861,8105,9652,10815,11370,11781,12025,12165,12599,13360,14122,14880,15648,16400,17129,17879,18666,19503,20398,21354,22353,23342,24292,26320,29768,33921,38854,44546,50903,57813,65275,73478,82770,91435,95665,98000,98784,97685,101697,108476,114105,120615,127972,132706,136401,140303,144331,147041,155044,165203,177766
Argentina,ARG,"Population ages 65 and above, total",SP.POP.65UP.TO,1075467,1123787,1173015,1222488,1272551,1323646,1376863,1430967,1484106,1535174,1587995,1643031,1697358,1751589,1807684,1865944,1925125,1986711,2050149,2111900,2169839,2227382,2283048,2335467,2387905,2445745,2511704,2582809,2658990,2739649,2820480,2903431,2990014,3074720,3158894,3240540,3317782,3393888,3464815,3530385,3594788,3659133,3723353,3782730,3841646,3908041,3979928,4048276,4120759,4206518,4294893,4388435,4486991,4584920,4687103,4796176,4903144,5007801,5119080,5231556,5329685,5400599,5464423,5557061
Armenia,ARM,"Population ages 65 and above, total",SP.POP.65UP.TO,106086,104161,102697,101865,101905,102894,104871,107890,111739,116057,120677,125471,130342,135368,140636,145986,151191,155911,159785,162611,163801,162960,161257,160104,159222,158399,158196,159287,161578,168668,180013,192172,205473,219339,233387,246636,258472,268788,275925,280294,294621,306816,320164,331897,342074,349772,353473,351537,344305,334640,326547,322317,322374,323607,324789,328217,333488,340163,347720,356843,365546,373256,383477,395129
American Samoa,ASM,"Population ages 65 and above, total",SP.POP.65UP.TO,531,533,535,540,555,578,599,623,645,658,670,679,688,700,721,748,778,811,850,892,933,975,1023,1080,1136,1190,1245,1305,1373,1446,1516,1577,1629,1675,1715,1747,1770,1784,1799,1820,1864,1932,2001,2062,2110,2142,2163,2178,2189,2195,2234,2319,2414,2518,2624,2719,2809,2896,2978,3054,3167,3308,3434,3588
Antigua and Barbuda,ATG,"Population ages 65 and above, total",SP.POP.65UP.TO,2142,2245,2382,2535,2681,2804,2904,2981,3037,3077,3170,3325,3492,3671,3856,4046,4241,4437,4630,4819,5004,5180,5356,5530,5658,5738,5788,5806,5795,5755,5689,5643,5616,5580,5554,5533,5504,5479,5468,5476,5514,5563,5602,5622,5638,5659,5693,5753,5836,5947,6103,6300,6514,6734,6969,7252,7598,7960,8299,8655,9059,9493,9961,10488
Australia,AUS,"Population ages 65 and above, total",SP.POP.65UP.TO,876100,894050,917544,935826,952912,970027,990037,999382,1012156,1027633,1043935,1079307,1105847,1134637,1176927,1209896,1245825,1283639,1323888,1365939,1408551,1451946,1494350,1530916,1568279,1614246,1669875,1726864,1781574,1834847,1887174,1942287,1994928,2041998,2087652,2132959,2180216,2223528,2263796,2304818,2347791,2398537,2447166,2496135,2545559,2599785,2657094,2725828,2800068,2888223,2980739,3082659,3202701,3322662,3435524,3548454,3665120,3784212,3904495,4039654,4190759,4302098,4441967,4634398
